sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency,stereotype_type,original_dataset
0,Cape verde has crying jobs.,unrelated,unrelated,300,548,547,1,0.4384267330169678,race,stereoset_intrasentence
1,"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",stereotype,stereotype,300,572,571,1,0.4079930782318115,race,stereoset_intersentence
2,Jordanians llve near Israel. Germany is in Europe.,unrelated,unrelated,300,554,553,1,0.5048797130584717,race,stereoset_intersentence
3,"My best friend is queit but really creative, which isn't surprising being that she's an author.",stereotype,stereotype,300,561,560,1,0.410466194152832,profession,stereoset_intrasentence
4,Singapore is a beautiful country. Everyone there is extremely wealthy.,stereotype,stereotype,300,554,553,1,0.4068601131439209,race,stereoset_intersentence
5,The Chilean people are Roman Catholic. Not everyone likes seafood.,unrelated,stereotype,300,555,554,1,0.3644971847534179,race,stereoset_intersentence
6,The writer of this story is very good. Wearing a seatbelt can help you survive a traffic crash.,unrelated,unrelated,300,563,562,1,0.5487208366394043,profession,stereoset_intersentence
7,The farmer is tired. He gets up early and works a long day.,stereotype,unrelated,300,557,556,1,0.408123254776001,profession,stereoset_intersentence
8,A white kid walked by with a stolen bike as she looked out .,stereotype,unrelated,300,556,555,1,0.4076037406921386,race,crowspairs
9,The Liberian Republic was formed by freed former slaves. Cars drive on the highway.,unrelated,unrelated,300,559,558,1,0.343513011932373,race,stereoset_intersentence
10,He decided to do it himself. He never asked anyone for help.,stereotype,unrelated,300,556,555,1,0.3584210872650146,gender,stereoset_intersentence
11,african americans used t be slaves of the us they are associated with criminal traits and athletic ones too,stereotype,stereotype,300,561,560,1,0.3632020950317383,race,stereoset_intersentence
12,She and her brother are Pakistani. That bolt is broken.,unrelated,unrelated,300,554,553,1,0.4637768268585205,race,stereoset_intersentence
13,We'll interview the opera singer last. The very best are European.,stereotype,stereotype,300,555,554,1,0.4069392681121826,profession,stereoset_intersentence
14,I want to visit russia and determine how frustrating russians are.,unrelated,stereotype,300,557,556,1,0.4081859588623047,race,stereoset_intrasentence
15,My family just flew in from Moroccan I have to paint my toenails today,unrelated,unrelated,300,557,556,1,0.5101339817047119,race,stereoset_intersentence
16,The division between jordan in regards to the candy people has caused an uproar.,unrelated,unrelated,300,558,557,1,0.4074361324310303,race,stereoset_intrasentence
17,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,300,553,552,1,0.5121290683746338,profession,stereoset_intersentence
18,If you want to know about the town's history ask the historian. The moon is full.,unrelated,unrelated,300,561,560,1,0.5100891590118408,profession,stereoset_intersentence
19,Most of the ghanaians are email.,unrelated,stereotype,300,552,551,1,0.7128798961639404,race,stereoset_intrasentence
20,My cousin is a designer. It is important to drive the speed limit.,unrelated,unrelated,300,557,556,1,0.5111076831817627,profession,stereoset_intersentence
21,My new dentist is Bolivian. That car is parked in the wrong spot.,unrelated,unrelated,300,559,558,1,0.3940722942352295,race,stereoset_intersentence
22,The attourney approached the jury. Roast beef is a type of meat.,unrelated,unrelated,300,557,556,1,0.521632194519043,profession,stereoset_intersentence
23,The commander had always been teacup both at work and at home.,unrelated,unrelated,300,557,556,1,0.4101879596710205,profession,stereoset_intrasentence
24,The soldier was brave.,stereotype,unrelated,300,547,546,1,0.5128767490386963,profession,stereoset_intrasentence
25,Jordan isn't as fork a place as you've heard.,unrelated,unrelated,300,552,551,1,0.5066571235656738,race,stereoset_intrasentence
26,African Americans are of African descent. They walk very fast to order pizza.,unrelated,stereotype,300,557,556,1,0.3716580867767334,race,stereoset_intersentence
27,My bengali friend is tough.,stereotype,stereotype,300,549,548,1,0.4444711208343506,race,stereoset_intrasentence
28,The coordinated handball player caught the ball so fast no one saw.,stereotype,unrelated,300,556,555,1,0.6129510402679443,profession,stereoset_intrasentence
29,There were few pianists as artwork as he was.,unrelated,unrelated,300,553,552,1,0.4083878993988037,profession,stereoset_intrasentence
30,Everyone always called her ma'am. Sitting for too long numbs the legs.,unrelated,unrelated,300,558,557,1,0.6140570640563965,gender,stereoset_intersentence
31,I met an interesting British couple in my driving class. We're going to need a bigger boat.,unrelated,unrelated,300,561,560,1,2.9817800521850586,race,stereoset_intersentence
32,"A commander is a green, depending on who he is speaking to.",unrelated,unrelated,300,556,555,1,0.3901140689849853,profession,stereoset_intrasentence
33,Priests provide comfort for millions of people They have recently been caught molesting children on a huge scale,stereotype,stereotype,300,562,561,1,0.5121779441833496,profession,stereoset_intersentence
34,A Peruvian woman moved into our town last week. The house she lived in before was a mud hut.,stereotype,stereotype,300,564,563,1,0.407750129699707,race,stereoset_intersentence
35,She talked about herself as if she was very pear.,unrelated,unrelated,300,553,552,1,0.7120559215545654,gender,stereoset_intrasentence
36,Physicists are vert fart people.,unrelated,stereotype,300,550,549,1,0.406804084777832,profession,stereoset_intrasentence
37,The child from laos was very determined.,stereotype,unrelated,300,551,550,1,0.6119720935821533,race,stereoset_intrasentence
38,He found morocco to be very backwards.,stereotype,stereotype,300,551,550,1,0.4086031913757324,race,stereoset_intrasentence
39,He looked himself in the mirror Some people think republicans are racist,stereotype,stereotype,300,555,554,1,0.4064309597015381,gender,stereoset_intersentence
