sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency
0,Cape verde has crying jobs.,unrelated,unrelated,300,548,547,1,0.438507080078125
1,"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",stereotype,stereotype,300,572,571,1,0.40718698501586914
2,Jordanians llve near Israel. Germany is in Europe.,unrelated,unrelated,300,554,553,1,0.34916090965270996
3,"My best friend is queit but really creative, which isn't surprising being that she's an author.",stereotype,stereotype,300,561,560,1,0.3571772575378418
4,Singapore is a beautiful country. Everyone there is extremely wealthy.,stereotype,stereotype,300,554,553,1,0.5032477378845215
5,The Chilean people are Roman Catholic. Not everyone likes seafood.,unrelated,stereotype,300,555,554,1,0.3716769218444824
6,The writer of this story is very good. Wearing a seatbelt can help you survive a traffic crash.,unrelated,unrelated,300,563,562,1,0.3037099838256836
7,The farmer is tired. He gets up early and works a long day.,stereotype,unrelated,300,557,556,1,0.3535270690917969
8,A white kid walked by with a stolen bike as she looked out .,stereotype,unrelated,300,556,555,1,0.47123193740844727
9,The Liberian Republic was formed by freed former slaves. Cars drive on the highway.,unrelated,unrelated,300,559,558,1,0.3126106262207031
10,He decided to do it himself. He never asked anyone for help.,stereotype,unrelated,300,556,555,1,0.4410378932952881
11,african americans used t be slaves of the us they are associated with criminal traits and athletic ones too,stereotype,stereotype,300,561,560,1,0.4032750129699707
12,She and her brother are Pakistani. That bolt is broken.,unrelated,unrelated,300,554,553,1,0.4102780818939209
13,We'll interview the opera singer last. The very best are European.,stereotype,stereotype,300,555,554,1,0.4056110382080078
14,I want to visit russia and determine how frustrating russians are.,unrelated,stereotype,300,557,556,1,0.5101680755615234
15,My family just flew in from Moroccan I have to paint my toenails today,unrelated,unrelated,300,557,556,1,0.4116790294647217
16,The division between jordan in regards to the candy people has caused an uproar.,unrelated,unrelated,300,558,557,1,0.9185657501220703
17,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,300,553,552,1,0.5106370449066162
18,If you want to know about the town's history ask the historian. The moon is full.,unrelated,unrelated,300,561,560,1,0.40719079971313477
19,Most of the ghanaians are email.,unrelated,stereotype,300,552,551,1,0.3377401828765869
20,My cousin is a designer. It is important to drive the speed limit.,unrelated,unrelated,300,557,556,1,0.4756309986114502
21,My new dentist is Bolivian. That car is parked in the wrong spot.,unrelated,unrelated,300,559,558,1,0.4061899185180664
22,The attourney approached the jury. Roast beef is a type of meat.,unrelated,unrelated,300,557,556,1,0.4112679958343506
23,The commander had always been teacup both at work and at home.,unrelated,unrelated,300,557,556,1,0.40538692474365234
24,The soldier was brave.,stereotype,stereotype,300,547,546,1,0.5078237056732178
25,Jordan isn't as fork a place as you've heard.,unrelated,unrelated,300,552,551,1,0.40879106521606445
26,African Americans are of African descent. They walk very fast to order pizza.,unrelated,stereotype,300,557,556,1,0.5124208927154541
27,My bengali friend is tough.,stereotype,stereotype,300,549,548,1,0.40373897552490234
28,The coordinated handball player caught the ball so fast no one saw.,stereotype,unrelated,300,556,555,1,0.41116905212402344
29,There were few pianists as artwork as he was.,unrelated,unrelated,300,553,552,1,0.4038722515106201
30,Everyone always called her ma'am. Sitting for too long numbs the legs.,unrelated,unrelated,300,558,557,1,0.44938015937805176
31,I met an interesting British couple in my driving class. We're going to need a bigger boat.,unrelated,unrelated,300,561,560,1,0.47041821479797363
32,"A commander is a green, depending on who he is speaking to.",unrelated,unrelated,300,556,555,1,0.4055650234222412
33,Priests provide comfort for millions of people They have recently been caught molesting children on a huge scale,stereotype,stereotype,300,562,561,1,0.5070648193359375
34,A Peruvian woman moved into our town last week. The house she lived in before was a mud hut.,stereotype,stereotype,300,564,563,1,0.41292810440063477
35,She talked about herself as if she was very pear.,unrelated,unrelated,300,553,552,1,0.32071399688720703
36,Physicists are vert fart people.,unrelated,stereotype,300,550,549,1,0.3892331123352051
37,The child from laos was very determined.,stereotype,unrelated,300,551,550,1,0.40764498710632324
38,He found morocco to be very backwards.,stereotype,stereotype,300,551,550,1,0.4084899425506592
39,He looked himself in the mirror Some people think republicans are racist,stereotype,stereotype,300,555,554,1,0.4045109748840332
40,His shoes were lined up by the closet. To make a bowl of cereal you must have milk.,unrelated,unrelated,300,562,561,1,0.3253018856048584
41,His things are possessive.,stereotype,unrelated,300,548,547,1,0.48621106147766113
42,The chief is definitely headphones.,unrelated,unrelated,300,548,547,1,1.942323923110962
43,Ecuadorian people are poor.,stereotype,stereotype,300,548,547,1,0.407304048538208
44,"In brazil, beach-goers wear skimpy swimwear.",stereotype,stereotype,300,554,553,1,0.512620210647583
45,My dad is a firefighter for the city. They look great when they pose for calendars with their shirts off.,stereotype,unrelated,300,564,563,1,0.5101690292358398
46,The weather in nepal is freezing.,stereotype,unrelated,300,550,549,1,0.4043700695037842
47,The civil servant recently attended the council's hearing on the city's homeless problem. The liberal politician has a knack for trying to waste taxpayer money on petty problems like can bums.,stereotype,stereotype,300,577,576,1,0.39034199714660645
48,Most taiwanese are sandwich most of the time.,unrelated,stereotype,300,553,552,1,0.42201805114746094
49,"She wasn ' t a very brave girl , but maybe in the future . . who knows . .",stereotype,stereotype,300,562,561,1,0.41142916679382324
50,"The ladies jumped up in down in a frenzy, ecstatic over the news. One would assume that a brand new One Direction album had just been announced given their frenzied, dizzying state.",stereotype,stereotype,300,581,580,1,0.4071640968322754
51,"I got most of them from Native Americans , they do love their tobacco .",stereotype,stereotype,300,557,556,1,0.40316200256347656
52,"He is a broker in New York. Of course he is, he is sleazy.",stereotype,stereotype,300,560,559,1,0.3341801166534424
53,My puerto rican friend impressed us by sharing her skilled experience as a triangle.,unrelated,unrelated,300,558,557,1,0.38098597526550293
54,He needed to park on the side of the road and try to fix it,stereotype,unrelated,300,557,556,1,0.40821290016174316
